Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","330nF","C_0805",98.500000,-69.000000,270.000000,top
"C2","100nF","C_0805",101.500000,-69.000000,270.000000,top
"C3","2.2µF","C_0805",104.000000,-73.500000,90.000000,top
"C4","100nF","C_0805",111.400000,-75.500000,180.000000,top
"C5","100nF","C_0805",107.800000,-78.000000,0.000000,top
"C6","100nF","C_0805",108.000000,-93.000000,90.000000,top
"C7","100nF","C_0805",110.000000,-93.000000,270.000000,top
"Q11","BC847","SOT-23",37.270000,-67.000000,90.000000,top
"Q21","BC847","SOT-23",60.270000,-67.000000,90.000000,top
"Q31","BC847","SOT-23",83.270000,-67.000000,90.000000,top
"Q41","BC847","SOT-23",37.270000,-78.000000,90.000000,top
"Q51","BC847","SOT-23",60.270000,-78.000000,90.000000,top
"Q61","BC847","SOT-23",83.270000,-78.000000,90.000000,top
"Q71","BC847","SOT-23",37.270000,-88.000000,270.000000,top
"R1","1k","R_0805",100.500000,-92.500000,180.000000,top
"R11","1k","R_0805",32.270000,-67.000000,0.000000,top
"R12","680","R_0805",42.270000,-61.500000,0.000000,top
"R13","100k","R_0805",42.270000,-67.000000,0.000000,top
"R21","1k","R_0805",55.270000,-67.000000,0.000000,top
"R22","680","R_0805",65.270000,-61.500000,0.000000,top
"R23","100k","R_0805",65.270000,-67.000000,0.000000,top
"R31","1k","R_0805",78.270000,-67.000000,0.000000,top
"R32","680","R_0805",88.270000,-61.500000,0.000000,top
"R33","100k","R_0805",88.270000,-67.000000,0.000000,top
"R41","1k","R_0805",32.270000,-78.000000,0.000000,top
"R42","680","R_0805",42.270000,-72.500000,0.000000,top
"R43","100k","R_0805",42.270000,-78.000000,0.000000,top
"R51","1k","R_0805",55.270000,-78.000000,0.000000,top
"R52","680","R_0805",65.270000,-72.500000,0.000000,top
"R53","100k","R_0805",65.270000,-78.000000,0.000000,top
"R61","1k","R_0805",78.270000,-78.000000,0.000000,top
"R62","680","R_0805",88.270000,-72.500000,0.000000,top
"R63","100k","R_0805",88.270000,-78.000000,0.000000,top
"R71","1k","R_0805",42.270000,-87.000000,180.000000,top
"R72","2k7","R_0805",32.270000,-89.000000,0.000000,top
"U1","L78L05_SOT89","SOT-89-3",100.000000,-73.980000,270.000000,top
"U2","ATmega328P-AU","TQFP-32_7x7mm_Pitch0.8mm",110.000000,-85.000000,270.000000,top
