Comment,Designator,Footprint,LCSC
"330nF","C1","Capacitors_SMD:C_0805","C1740"
"100nF","C2,C4,C5,C6,C7","Capacitors_SMD:C_0805"," C49678"
"2.2µF","C3","Capacitors_SMD:C_0805","C49217"
"BC847","Q11,Q21,Q31,Q41,Q51,Q61,Q71","TO_SOT_Packages_SMD:SOT-23","C2146"
"680","R12,R22,R32,R42,R52,R62","Resistors_SMD:R_0805","C17798"
"10k","R1,R13,R23,R33,R43,R53,R63","Resistors_SMD:R_0805","C17414"
"3.3k","R11,R21,R31,R41,R51,R61,R71","Resistors_SMD:R_0805","C26010"
"2k7","R72","Resistors_SMD:R_0805","C17530"
"L78L05","U1","TO_SOT_Packages_SMD:SOT-89-3","C71136"
"ATmega328P-AU","U2","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","C14877"
