Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",e9502d42-3ef4-4c54-9284-00e123373677,2,,
C2011,CP_Radial_D8.0mm_P3.50mm,1,220µ,
C2012,CP_Radial_D5.0mm_P2.00mm,1,2.2µ,
"C2013, C2014, C2044, C2064, C2068, C2070, C2071, C2073, C2080, C2111, C2112, C2116",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,12,100n,
C2016,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,2.2µ,
"C2023, C2061",CP_Radial_D5.0mm_P2.00mm,2,47µ,
C2033,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,680n,
C2045,CP_Radial_D5.0mm_P2.00mm,1,22µ,
C2046,CP_Radial_D5.0mm_P2.00mm,1,4.7µ,
C2056,CP_Radial_D10.0mm_P5.00mm,1,100µ,
C2082,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,22n,
C2117,CP_Radial_D6.3mm_P2.50mm,1,100µ,
"D2026, D2027, D2071, D2072",D_DO-35_SOD27_P10.16mm_Horizontal,4,1N4148,
D2061,D_DO-35_SOD27_P10.16mm_Horizontal,1,AA143,
GL2113,Glimmlampe,1,110V/0.6mA,
"IC2041, IC2061, IC2071",DIP-14_W7.62mm,3,4016,
IC2081,DIP-14_W7.62mm,1,4013,
J1,FM-Tuner,1,FM-Tuner,
"J10, J13, J26, J27, J9",Pin_D1.3mm_L11.0mm,5,br,
J11,Conn_01x04,1,NF,
J12,Conn_01x05,1,Power,
"J14, J34, J35, J36, J37",Pin_D1.3mm_L11.0mm,5,sw,
J15,Pin_D1.3mm_L11.0mm,1,rt,
J16,Pin_D1.3mm_L11.0mm,1,or,
J17,Pin_D1.3mm_L11.0mm,1,gn,
J18,Pin_D1.3mm_L11.0mm,1,ge,
J19,Conn_01x01,1,rt,
J2,AM-HF,1,AM-HF,
J20,SolderPads_Bridge_01x03_2.5mm,1,Conn_01x03,
"J21, J22, J23, J24, J25",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,5,rt,
J28,Conn_01x02_5mm,1,Conn_01x02,
J29,Conn_01x03_5mm,1,Conn_01x03,
J3,AM-ZF,1,AM-ZF,
J30,Conn_01x02,1,Conn_01x02,
J4,Stereo-Decoder,1,~,
J5,Abstimmspannung,1,~,
J6,FM-ZF,1,FM-ZF,
J7,AM-Antenne,1,Antenne,
J8,Pin_D1.3mm_L11.0mm,1,Conn_01x01,
"L2011, L2111, L2117",L_Radial_D7.5mm_P5.00mm_Fastron_07P,3,1000µH,
P2022,Potentiometer_Piher_PT-10-V10_Vertical,1,2.5k,
P2045,Potentiometer_Piher_PT-10-V10_Vertical,1,25k,
P2046,Potentiometer_Piher_PT-15-H05_Horizontal,1,100k,
P2063,Potentiometer_Piher_PT-10-V10_Vertical,1,10k,
R2018,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47k,
"R2021, R2031, R2032",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,3.9k,
R2022,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.7k,
"R2023, R2048, R2097",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,15k,
R2024,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
"R2026, R2034, R2047, R2052, R2098",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,22k,
"R2028, R2033, R2045, R2067",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
R2043,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2k,
R2044,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,12k,
"R2046, R2066, R2086",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,4.7k,
"R2051, R2101",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1.2k,
"R2053, R2094",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47,
R2054,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,27,
R2056,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,820,
"R2062, R2064, R2068, R2069, R2072, R2092",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,100k,
"R2063, R2096",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,5.6k,
"R2073, R2091",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,33k,
R2074,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.5k,
"T2026, T2034, T2047, T2051, T2094, T2098",TO-92_Wide,6,BC547,
