Designator,Mid X,Mid Y,Rotation,Layer
_2,103.5,-73.5,0.0,top
,98.5,-73.5,0.0,top
C2011,253.25,-176.75,180.0,top
C2012,260.5,-165.75,0.0,top
C2013,250.0,-72.58,90.0,top
C2014,255.0,-117.67,90.0,top
C2016,245.0,-105.25,90.0,top
C2023,232.5,-56.75,90.0,top
C2033,230.0,-112.67,270.0,top
C2044,215.0,-92.83,90.0,top
C2045,240.0,-54.75,270.0,top
C2046,225.0,-54.75,270.0,top
C2056,154.0,-68.5,0.0,top
C2061,195.25,-86.75,180.0,top
C2064,188.0,-92.83,90.0,top
C2068,188.0,-112.67,270.0,top
C2070,48.0,-127.5,90.0,top
C2071,43.0,-115.08,90.0,top
C2073,28.0,-115.08,90.0,top
C2080,48.0,-152.25,90.0,top
C2082,33.0,-139.83,90.0,top
C2111,93.5,-41.75,270.0,top
C2112,118.5,-46.75,90.0,top
C2116,176.0,-46.75,90.0,top
C2117,168.5,-45.43238,90.0,top
D2026,250.0,-110.09,270.0,top
D2027,245.0,-120.25,90.0,top
D2061,193.0,-80.16,90.0,top
D2071,225.0,-110.09,270.0,top
D2072,220.0,-120.25,90.0,top
GL2113,111.5,-44.25,0.0,top
IC2041,235.24,-98.95,270.0,top
IC2061,173.0,-106.55,90.0,top
IC2071,43.125,-121.2,270.0,top
IC2081,43.125,-145.95,270.0,top
J1,147.5,-160.0,0.0,top
J10,43.0,-100.0,0.0,top
J11,186.75,-27.5,0.0,top
J12,130.0,-27.5,0.0,top
J13,217.5,-27.5,0.0,top
J14,212.5,-27.5,0.0,top
J15,230.0,-27.5,90.0,top
J16,225.0,-27.5,90.0,top
J17,237.5,-27.25,90.0,top
J18,242.5,-27.25,90.0,top
J19,170.5,-27.5,0.0,top
J2,21.5,-28.25,0.0,top
J20,207.5,-102.75,270.0,top
J21,63.5,-24.0,0.0,top
J22,73.5,-24.0,0.0,top
J23,83.5,-24.0,0.0,top
J24,68.5,-24.0,0.0,top
J25,78.5,-24.0,0.0,top
J26,33.0,-100.0,0.0,top
J27,28.0,-100.0,0.0,top
J28,86.0,-73.25,0.0,top
J29,106.0,-63.75,180.0,top
J3,195.0,-60.0,180.0,top
J30,176.75,-27.5,0.0,top
J34,156.5,-27.5,0.0,top
J35,161.5,-27.5,0.0,top
J36,144.0,-27.5,0.0,top
J37,149.0,-27.5,0.0,top
J4,200.0,-122.5,90.0,top
J5,156.25,-136.75,90.0,top
J6,181.25,-127.5,0.0,top
J7,254.5,-76.0,0.0,top
J8,257.5,-102.75,0.0,top
J9,38.0,-100.0,0.0,top
L2011,251.5,-168.25,90.0,top
L2111,101.75,-46.75,90.0,top
L2117,158.5,-41.75,270.0,top
P2022,217.5,-65.0,270.0,top
P2045,217.5,-47.33,90.0,top
P2046,267.0,-54.75,180.0,top
P2063,180.5,-70.0,270.0,top
R2018,93.66,-63.5,180.0,top
R2021,245.0,-75.16,90.0,top
R2022,230.0,-75.16,90.0,top
R2023,235.0,-75.16,90.0,top
R2024,240.0,-65.0,270.0,top
R2026,220.0,-95.41,90.0,top
R2028,225.0,-95.41,90.0,top
R2031,245.0,-85.25,270.0,top
R2032,240.0,-95.41,90.0,top
R2033,230.0,-95.41,90.0,top
R2034,235.0,-95.41,90.0,top
R2043,240.0,-120.25,90.0,top
R2044,235.0,-110.09,270.0,top
R2045,257.66,-54.75,180.0,top
R2046,235.0,-47.33,90.0,top
R2047,247.5,-34.75,0.0,top
R2048,225.0,-37.17,270.0,top
R2051,257.66,-44.75,180.0,top
R2052,247.5,-49.75,0.0,top
R2053,247.5,-39.75,0.0,top
R2054,230.0,-47.33,90.0,top
R2056,136.0,-68.5,0.0,top
R2062,178.0,-95.41,90.0,top
R2063,173.0,-80.16,90.0,top
R2064,183.0,-85.25,270.0,top
R2066,173.0,-85.25,270.0,top
R2067,173.0,-110.09,270.0,top
R2068,178.0,-120.25,90.0,top
R2069,183.0,-110.09,270.0,top
R2072,38.0,-117.66,90.0,top
R2073,33.0,-107.5,270.0,top
R2074,28.0,-142.41,90.0,top
R2086,38.0,-142.41,90.0,top
R2091,33.0,-157.09,270.0,top
R2092,38.0,-167.25,90.0,top
R2094,28.0,-167.25,90.0,top
R2096,43.0,-157.09,270.0,top
R2097,38.0,-172.34,270.0,top
R2098,43.0,-182.5,90.0,top
R2101,43.0,-132.25,270.0,top
T2026,230.04,-78.96,180.0,top
T2034,240.04,-78.96,180.0,top
T2047,240.96,-34.71,270.0,top
T2051,240.96,-44.71,270.0,top
T2094,33.04,-172.34,180.0,top
T2098,33.04,-179.96,180.0,top
