Designator,Footprint,Quantity,Value,LCSC Part #
"C451, C454, C456, C457, C462, C463, C464, C466, C468, C474, C476",C_Disc_D4.3mm_W1.9mm_P5.00mm,11,??,
"C458, C467",C_Trimmable_7.5mm,2,C_Trim,
C472,CP_Radial_D6.3mm_P2.50mm,1,100µ,
C473,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,??,
J1,Connector_01x09_5mm,1,Conn_01x09,
"J2, J3, J4, J5, J6, J7, J8",Pin_D1.0mm_L10.0mm,7,Conn_01x01,
J9,Connector_01x01_Rect,1,Conn_01x01,
L456,L_Tunable_7mm,1,L_Trimmable_Type3,
L463,L_Tunable_7mm,1,L_Trimmable_Type1,
L466,L_Tunable_16.5mm,1,L_Trimmable_Type2,
"P451, P482",Potentiometer_Piher_PT-10-H01_Horizontal,2,??,
"R452, R453, R454, R456, R462, R471, R472, R473, R474, R476",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,10,??,
"R482, R483",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,??,
T451,TO-92L_Wide,1,BF540,
T471,TO-92L_Wide,1,BF450,
T476,TO-92L_Wide,1,BF240,
