Designator,Mid X,Mid Y,Rotation,Layer
C451,106.75,-81.0,90.0,top
C454,101.75,-50.5,270.0,top
C456,111.75,-50.5,270.0,top
C457,116.75,-55.5,90.0,top
C458,79.25,-42.25,90.0,top
C462,76.75,-55.5,90.0,top
C463,86.75,-43.75,90.0,top
C464,86.75,-35.25,90.0,top
C466,91.75,-30.25,270.0,top
C467,79.25,-31.75,90.0,top
C468,96.75,-35.25,90.0,top
C472,99.25,-79.75,90.0,top
C473,91.75,-81.0,90.0,top
C474,96.75,-67.5,270.0,top
C476,86.75,-81.0,90.0,top
J1,112.75,-87.0,0.0,top
J2,60.0,-92.5,90.0,top
J3,53.0,-92.5,90.0,top
J4,36.5,-92.5,90.0,top
J5,56.5,-92.5,0.0,top
J6,30.75,-66.5,0.0,top
J7,30.75,-76.5,0.0,top
J8,30.75,-45.0,0.0,top
J9,49.0,-56.5,0.0,top
L456,89.25,-53.0,90.0,top
L463,94.0,-41.25,270.0,top
L466,109.25,-36.5,270.0,top
P451,114.25,-68.5,270.0,top
P482,81.75,-68.5,270.0,top
R452,111.75,-81.0,90.0,top
R453,106.75,-64.0,90.0,top
R454,101.75,-64.0,90.0,top
R456,106.75,-55.5,90.0,top
R462,76.75,-64.0,90.0,top
R471,81.75,-55.5,90.0,top
R472,81.75,-64.0,90.0,top
R473,101.75,-72.5,90.0,top
R474,96.75,-64.0,90.0,top
R476,96.75,-55.5,90.0,top
R482,81.75,-81.0,90.0,top
R483,76.75,-81.0,90.0,top
T451,113.4,-58.92,270.0,top
T471,90.1,-72.5,90.0,top
T476,88.4,-58.92,270.0,top
