Designator,Footprint,Quantity,Value,LCSC Part #
"C351, C397",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,C,
C354,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1µ,
"C357, C364, C383",C_Rect_L7.0mm_W2.5mm_P5.00mm,3,C,
"C361, C362, C363, C372, C374, C376, C377, C378, C381, C382",L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC,10,C,
"C366, C367, C368, C373, C384",C_Rect_L7.0mm_W2.5mm_P5.00mm,5,100n,
"C371, C393",CP_Radial_D5.0mm_P2.00mm,2,2.2µ,
C386,L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC,1,1.5n,
C387,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,4.7n,
"C388, C392",CP_Radial_D6.3mm_P2.50mm,2,47µ,
C391,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,C,
C394,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,100n,
"D387, D394, D395",D_DO-35_SOD27_P5.08mm_Vertical_AnodeUp,3,1N4148,
J1,Connector_01x15_5mm,1,Conn_01x15,
"L361, L362, L378, L381",Inductor_Adjustable_7.5mm,4,~,
"L367, L383",L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC,2,L,
"L372, L376",Inductor_Adjustable_7.5mm,2,~,
L386,Inductor_Adjustable_7.5mm,1,L_Adjustable_4Pin,
"R352, R354, R356, R357, R358, R364, R382, R383, R386, R388, R391, R392, R393, R394, R397",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,15,??,
"R366, R373, R384, R396",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,4,??,
"T351, T356",TO-92_Wide,2,BF256B,
T366,TO-92_Wide,1,BF240,
T384,TO-92_Wide,1,BF241,
