Designator,Mid X,Mid Y,Rotation,Layer
C351,112.5,-87.0,0.0,top
C354,121.5,-89.5,0.0,top
C357,135.25,-82.0,180.0,top
C361,126.12,-72.0,180.0,top
C362,126.12,-57.0,180.0,top
C363,117.12,-72.0,180.0,top
C364,112.5,-56.75,0.0,top
C366,108.5,-51.75,180.0,top
C367,130.25,-67.0,0.0,top
C368,85.5,-82.0,0.0,top
C371,97.0,-50.955113,90.0,top
C372,99.12,-72.0,180.0,top
C373,90.5,-77.0,180.0,top
C374,99.12,-56.75,180.0,top
C376,90.12,-72.0,180.0,top
C377,90.12,-56.75,180.0,top
C378,81.12,-72.0,180.0,top
C381,81.12,-56.75,180.0,top
C382,72.12,-72.0,180.0,top
C383,76.5,-77.0,0.0,top
C384,67.5,-87.0,0.0,top
C386,58.88,-72.0,0.0,top
C387,103.5,-92.0,0.0,top
C388,79.0,-90.68238,90.0,top
C391,54.5,-72.0,180.0,top
C392,61.0,-55.43238,90.0,top
C393,52.955112,-64.5,180.0,top
C394,90.5,-87.0,180.0,top
C397,108.5,-77.0,180.0,top
D387,94.615686,-82.0,0.0,top
D394,49.615686,-87.0,0.0,top
D395,49.615686,-92.0,0.0,top
J1,126.5,-96.75,0.0,top
L361,124.0,-64.5,0.0,top
L362,115.0,-64.5,0.0,top
L367,103.88,-72.0,0.0,top
L372,97.0,-64.5,0.0,top
L376,88.0,-64.5,0.0,top
L378,79.0,-64.5,0.0,top
L381,70.0,-64.5,0.0,top
L383,49.88,-82.0,0.0,top
L386,61.0,-64.5,0.0,top
R352,112.685,-92.0,0.0,top
R354,103.685,-87.0,0.0,top
R356,130.685,-87.0,0.0,top
R357,130.435,-72.0,0.0,top
R358,130.435,-77.0,0.0,top
R364,103.685,-56.75,0.0,top
R366,112.685,-51.75,0.0,top
R373,94.685,-77.0,0.0,top
R382,58.685,-77.0,0.0,top
R383,76.685,-82.0,0.0,top
R384,58.685,-87.0,0.0,top
R386,58.685,-82.0,0.0,top
R388,94.685,-87.0,0.0,top
R391,76.685,-51.75,0.0,top
R392,85.685,-51.75,0.0,top
R393,67.685,-56.75,0.0,top
R394,85.685,-92.0,0.0,top
R396,94.685,-92.0,0.0,top
R397,103.685,-82.0,0.0,top
T351,114.23,-76.96,270.0,top
T356,124.77,-82.04,90.0,top
T366,103.46,-65.27,0.0,top
T384,70.77,-82.04,90.0,top
