Designator,Footprint,Quantity,Value,LCSC Part #
"C502, C503",C_Rect_L4.6mm_W5.5mm_P2.50mm_MKS02_FKP02,2,1µ,
C504,CP_Radial_D5.0mm_P2.00mm,1,22µ,
"C506, C507",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,1n,
IC501,DIP-16_W7.62mm,1,TCA530,
J1,Connector_01x09_5mm,1,Conn_01x09,
P512,Potentiometer_Piher_PT-15-H05_Horizontal,1,1k,
P516,Potentiometer_Piher_PT-15-H05_Horizontal,1,100k,
"R501, R502",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47k,
"R504, R508",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1.5k,
R506,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,x,
R511,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
"R512, R517",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,27k,
R513,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,68k,
R514,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150k,
R516,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,270k,
