Designator,Mid X,Mid Y,Rotation,Layer
C502,73.6,-65.5,270.0,top
C503,73.6,-73.5,90.0,top
C504,83.75,-50.5,90.0,top
C506,71.75,-55.625,270.0,top
C507,56.75,-55.625,270.0,top
IC501,60.45,-55.625,0.0,top
J1,85.75,-87.0,0.0,top
P512,51.0,-43.5,270.0,top
P516,68.5,-43.5,270.0,top
R501,88.75,-80.0,90.0,top
R502,83.75,-80.0,90.0,top
R504,88.75,-64.84,90.0,top
R506,83.75,-54.68,270.0,top
R508,39.75,-64.84,90.0,top
R511,49.75,-80.0,90.0,top
R512,49.75,-64.84,90.0,top
R513,44.75,-80.0,90.0,top
R514,39.75,-80.0,90.0,top
R516,44.75,-64.84,90.0,top
R517,54.75,-80.0,90.0,top
