Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,470n,C13967
C2,0805,1,2.2µ,C377773
"C3, C4, C5, C6, C7",0805,5,100n, C49678
"D11, D21, D31, D41, D51, D61",LED_Rectangular_W5.0mm_H2.0mm,6,LED,
J10,Conn_01x01,1,gn,
J11,Conn_01x01,1,or,
J12,Conn_01x01,1,rt,
J13,Conn_01x01,1,br,
J2,Conn_01x01,1,vi,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,
J4,Conn_01x01,1,rs,
J5,PadArray_2.54mm_01x13,1,Conn_01x13_Male,
J6,"Pad_Array_2,54mm_16",1,Conn_01x16_Male,
J7,Conn_01x01,1,gr,
J8,Conn_01x01,1,bl,
J9,Conn_01x01,1,ge,
"Q11, Q21, Q31, Q41, Q51, Q61, Q71",SOT-23,7,BC847,C2146
"R1, R13, R23, R33, R43, R53, R63",0805,7,10k,C17414
"R11, R21, R31, R41, R51, R61, R71",0805,7,3.3k,C26010
"R12, R22, R32, R42, R52, R62",0805,6,680,C17798
R72,0805,1,2k7,C17530
SW1,SW_PUSH_DPDT,1,AUX,
SW2,SW_PUSH_DPDT,1,BD1,
SW3,SW_PUSH_DPDT,1,BD2,
SW4,SW_PUSH_DPDT,1,PHONO,
SW5,SW_PUSH_DPDT,1,AM,
SW6,SW_PUSH_DPDT,1,FM,
U1,SOT-89-3,1,L78L05,C71136
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,C14877
