Designator,Mid X,Mid Y,Rotation,Layer
C1,55.75,-85.95,90.0,top
C2,64.75,-85.95,90.0,top
C3,67.25,-85.95,90.0,top
C4,97.5,-91.75,180.0,top
C5,97.5,-89.25,180.0,top
C6,81.0,-89.25,0.0,top
C7,81.0,-91.75,180.0,top
D11,36.0,-61.5,0.0,top
D21,59.0,-61.5,0.0,top
D31,82.0,-61.5,0.0,top
D41,36.0,-72.5,0.0,top
D51,59.0,-72.5,0.0,top
D61,82.0,-72.5,0.0,top
J10,24.0,-79.5,0.0,top
J11,24.0,-83.0,0.0,top
J12,24.0,-58.5,0.0,top
J13,24.0,-86.5,0.0,top
J2,24.0,-62.0,0.0,top
J3,73.775,-93.025,180.0,top
J4,24.0,-65.5,0.0,top
J5,67.2,-52.5,0.0,top
J6,65.0,-45.2,0.0,top
J7,24.0,-69.0,0.0,top
J8,24.0,-72.5,0.0,top
J9,24.0,-76.0,0.0,top
Q11,37.27,-65.25,270.0,top
Q21,60.27,-65.25,270.0,top
Q31,83.27,-65.25,270.0,top
Q41,37.27,-76.25,270.0,top
Q51,60.27,-76.25,270.0,top
Q61,83.27,-76.25,270.0,top
Q71,37.27,-86.25,90.0,top
R1,81.0,-86.75,180.0,top
R11,42.75,-64.0,180.0,top
R12,42.75,-61.5,0.0,top
R13,42.75,-59.0,0.0,top
R21,65.75,-64.0,180.0,top
R22,65.75,-61.5,0.0,top
R23,65.75,-59.0,0.0,top
R31,88.75,-64.0,180.0,top
R32,88.75,-61.5,0.0,top
R33,88.75,-59.0,0.0,top
R41,42.75,-75.0,180.0,top
R42,42.75,-72.5,0.0,top
R43,42.75,-70.0,0.0,top
R51,65.75,-75.0,180.0,top
R52,65.75,-72.5,0.0,top
R53,65.75,-70.0,0.0,top
R61,88.75,-75.0,180.0,top
R62,88.75,-72.5,0.0,top
R63,88.75,-70.0,0.0,top
R71,42.75,-87.5,180.0,top
R72,42.75,-85.0,180.0,top
SW1,37.0,-102.0,0.0,top
SW2,54.5,-102.0,0.0,top
SW3,72.0,-102.0,0.0,top
SW4,107.5,-102.0,0.0,top
SW5,125.0,-102.0,0.0,top
SW6,142.5,-102.0,0.0,top
U1,60.25,-86.65,270.0,top
U2,89.25,-90.5,180.0,top
