Designator,Footprint,Quantity,Value,LCSC Part #
"C841, C861",C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4,2,470n,
"C842, C846, C847, C862, C866, C867",C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4,6,33n,
"C843, C863",C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4,2,68n,
C844,CP_Radial_D5.0mm_P2.00mm,1,10µ,
"C848, C868",C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4,2,2.2n,
"C851, C871",C_Disc_D6.0mm_W2.5mm_P5.00mm,2,270p,
C874,CP_Radial_D6.3mm_P2.50mm,1,47µ,
J1,Connector_01x11_5mm,1,Conn_01x13,
"R841, R861",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,270k,
"R842, R846, R862, R866",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,100k,
"R843, R844, R863, R864",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,270k,
"R847, R867",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,3.9k,
"R848, R868",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,27k,
"R852, R872",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,22k,
R874,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R876,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,8.2k,
U841,DIP-16_W7.62mm,1,TDA1028,
