Comment,Designator,Footprint,LCSC
"820µF","C1141,C1172","Capacitors_THT:CP_Radial_D16.0mm_P7.50mm",""
"100nF","C1144,C1162","Capacitors_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"100pF","C1146","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"15nF","C1156,C1163","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"220pF","C1165","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"33pF","C1170","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"220nF","C1142,C1171","Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"1N4149","D1156,D1157,D1163,D1166","Diodes_THT:D_DO-35_SOD27_P10.16mm_Horizontal",""
"Fuse","F1,F2","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_inline_Type-I",""
"MountingHole_Pad","H1,H2","Mounting_Holes:MountingHole_3.7mm_Pad",""
"gr","J1","Wire_Pads:SolderWirePad_single_2mmDrill",""
"ws","J2","Wire_Pads:SolderWirePad_single_2mmDrill",""
"bl","J3","Wire_Pads:SolderWirePad_single_2mmDrill",""
"ge","J4","Wire_Pads:SolderWirePad_single_2mmDrill",""
"gn","J5","Wire_Pads:SolderWirePad_single_2mmDrill",""
"ws/ge","J6","Wire_Pads:SolderWirePad_single_2mmDrill",""
"ws/gn","J7","Wire_Pads:SolderWirePad_single_2mmDrill",""
"Conn_01x07","J8","Connectors_JST:JST_XH_S07B-XH-A_07x2.50mm_Angled",""
"100","P1143","Potentiometers:Potentiometer_Trimmer_Piher_PT-10v10_Horizontal_Px10.0mm_Py5.0mm",""
"270","R1142","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"220","R1143","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"10","R1144","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"2.2k","R1145","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"100","R1146,R1147,R1163,R1171","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"2.2","R1148,R1172","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"0.27","R1151,R1152,R1173,R1174","Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",""
"1k","R1154,R1156,R1164","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"3.9k","R1157,R1166","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"330","R1158,R1167","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"0.22","R1161,R1168","Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal",""
"6.8","R1162","Resistors_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",""
"BD139 (BD417)","T1144,T1146","TO_SOT_Packages_THT:TO-126_Vertical",""
"BD246B","T1151,T1152","TO_SOT_Packages_THT:TO-247_TO-3P_Vertical",""
"BC337","T1156","TO_SOT_Packages_THT:TO-92_Rugged",""
"BC327","T1163","TO_SOT_Packages_THT:TO-92_Rugged",""
"BD140 (BD418)","T1171","TO_SOT_Packages_THT:TO-126_Vertical",""
"BD245B","T1173,T1174","TO_SOT_Packages_THT:TO-247_TO-3P_Vertical",""
