Designator,Footprint,Quantity,Value,LCSC Part #
C772,CP_Radial_D6.3mm_P2.50mm,1,100µF,
C784,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,100nF,
C797,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,47nF,
D794,D_DO-35_SOD27_P10.16mm_Horizontal,1,ZPD8.2,
J1,Connector_01x11_5mm,1,Conn_01x13,
"R771, R773, R774, R776, R778, R781, R786, R794",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,22k,
"R772, R777, R782, R793",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,4.7k,
R787,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
"R788, R791",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
"T772, T777, T788",TO-92_Wide,3,BC557,
"T774, T781",TO-92_Wide,2,BC547,
T792,TO-92_Wide,1,BC327,
