Designator,Mid X,Mid Y,Rotation,Layer
C772,58.75,-72.5,0.0,top
C784,62.5,-80.0,180.0,top
C797,78.75,-54.26,90.0,top
D794,78.75,-69.84,270.0,top
J1,85.75,-87.0,0.0,top
R771,41.25,-69.84,270.0,top
R772,36.25,-80.0,90.0,top
R773,41.25,-46.68,270.0,top
R774,36.25,-46.68,270.0,top
R776,46.25,-69.84,270.0,top
R777,51.25,-80.0,90.0,top
R778,51.25,-46.68,270.0,top
R781,46.25,-46.68,270.0,top
R782,68.75,-69.84,270.0,top
R786,58.75,-46.68,270.0,top
R787,63.75,-46.68,270.0,top
R788,73.75,-69.84,270.0,top
R791,83.75,-69.84,270.0,top
R793,73.75,-56.84,90.0,top
R794,68.75,-46.68,270.0,top
T772,41.29,-62.3,180.0,top
T774,41.29,-38.64,180.0,top
T777,51.29,-62.3,180.0,top
T781,51.29,-38.64,180.0,top
T788,73.79,-62.3,180.0,top
T792,76.29,-38.64,180.0,top
