Designator,Footprint,Quantity,Value,LCSC Part #
"C801, C802, C821, C822",C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4,4,3.3nF,
"C806, C826",C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4,2,15nF,
"C807, C827",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,2.2µF,
"C808, C828",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,39pF,
"C811, C831",CP_Radial_D5.0mm_P2.50mm,2,4.7µF,
"C814, C834",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,4.7µF,
"C816, C836",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,2.2nF,
C833,CP_Radial_D10.0mm_P5.00mm,1,220µF,
J1,Conn_01x07,1,Conn_01x07,
"R801, R802, R821, R822",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,2.2k,
"R803, R823",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,39k,
"R804, R807, R824, R827",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,15k,
"R806, R826",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,8.2k,
"R808, R828",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47k,
"R811, R812, R831, R832",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,33k,
"R813, R833",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,3.3k,
"R814, R834",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,150k,
RV1,ALPS_xxxxBX2,1,25k,
RV2,ALPS_xxxxBX2,1,100k,
"T808, T814, T828, T834",TO-92_Wide,4,BC547,
