Designator,Mid X,Mid Y,Rotation,Layer
C801,102.5,-75.25,90.0,top
C802,108.0,-67.75,270.0,top
C806,139.75,-75.25,90.0,top
C807,105.25,-43.25,270.0,top
C808,65.75,-56.91,0.0,top
C811,68.25,-48.75,270.0,top
C814,105.25,-40.0,90.0,top
C816,57.0,-47.5,270.0,top
C821,119.0,-75.25,90.0,top
C822,113.5,-67.75,270.0,top
C826,156.25,-75.25,90.0,top
C827,116.25,-43.25,270.0,top
C828,83.75,-56.91,0.0,top
C831,86.25,-48.75,270.0,top
C833,77.25,-36.5,270.0,top
C834,116.25,-40.0,90.0,top
C836,57.0,-42.5,90.0,top
J1,52.0,-32.5,270.0,top
R801,102.5,-62.75,90.0,top
R802,108.0,-52.59,270.0,top
R803,134.455,-75.25,180.0,top
R804,139.75,-62.75,90.0,top
R806,145.25,-65.09,270.0,top
R807,145.25,-52.59,270.0,top
R808,74.75,-56.91,90.0,top
R811,61.75,-56.91,90.0,top
R812,74.75,-62.0,270.0,top
R813,97.75,-33.09,270.0,top
R814,61.75,-72.16,90.0,top
R821,119.0,-62.75,90.0,top
R822,113.5,-52.59,270.0,top
R823,134.455,-70.25,180.0,top
R824,156.25,-62.75,90.0,top
R826,150.75,-65.09,270.0,top
R827,150.75,-52.59,270.0,top
R828,92.75,-56.91,90.0,top
R831,79.75,-56.91,90.0,top
R832,92.75,-62.0,270.0,top
R833,123.75,-33.09,270.0,top
R834,79.75,-72.16,90.0,top
RV1,110.75,-93.0,0.0,top
RV2,148.0,-93.0,0.0,top
T808,65.71,-64.54,0.0,top
T814,65.71,-72.16,0.0,top
T828,83.71,-64.54,0.0,top
T834,83.71,-72.16,0.0,top
