Designator,Footprint,Quantity,Value,LCSC Part #
"C731, C751",C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4,2,220n,
"C732, C737, C752, C757",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,39p,
"C733, C753",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,330p,
"C736, C756",CP_Radial_D5.0mm_P2.00mm,2,4.7µ,
"C741, C761",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,2.2µ,
C744,CP_Radial_D5.0mm_P2.00mm,1,22µ,
C746,CP_Radial_D10.0mm_P5.00mm,1,220µ,
J1,Connector_01x09_5mm,1,Conn_01x09,
"R731, R751",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
"R732, R733, R752, R753",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,180k,
"R734, R754",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100k,
"R737, R757",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,15k,
"R738, R758",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,5.6k,
"R741, R761",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220k,
R743,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4.7k,
R744,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"T734, T754",TO-92L_Wide,2,BC557,
"T741, T761",TO-92L_Wide,2,BC547,
