Designator,Mid X,Mid Y,Rotation,Layer
C731,63.75,-77.34,90.0,top
C732,68.75,-69.84,0.0,top
C733,68.75,-64.84,0.0,top
C736,71.25,-76.384888,270.0,top
C737,83.75,-64.84,0.0,top
C741,83.75,-44.6,0.0,top
C744,60.0,-35.430224,90.0,top
C746,60.0,-42.1,270.0,top
C751,56.75,-77.34,90.0,top
C752,51.25,-69.84,180.0,top
C753,51.25,-64.84,180.0,top
C756,48.75,-76.384888,270.0,top
C757,36.25,-64.84,180.0,top
C761,36.25,-44.6,180.0,top
J1,80.75,-87.0,0.0,top
R731,63.75,-64.84,90.0,top
R732,68.75,-39.52,270.0,top
R733,78.75,-54.68,270.0,top
R734,73.75,-49.68,90.0,top
R737,78.75,-80.0,90.0,top
R738,78.75,-39.52,270.0,top
R741,83.75,-80.0,90.0,top
R743,51.33,-34.52,180.0,top
R744,78.83,-34.52,180.0,top
R751,56.75,-64.84,90.0,top
R752,51.25,-39.52,270.0,top
R753,41.25,-54.68,270.0,top
R754,46.25,-49.68,90.0,top
R757,41.25,-80.0,90.0,top
R758,41.25,-39.52,270.0,top
R761,36.25,-80.0,90.0,top
T734,72.75,-59.76,90.0,top
T741,87.75,-59.76,90.0,top
T754,47.25,-54.68,270.0,top
T761,32.25,-54.68,270.0,top
