Designator,Footprint,Quantity,Value,LCSC Part #
C702,C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4,1,2.2n,
C708,CP_Radial_D6.3mm_P2.50mm,1,47µF,
C711,CP_Radial_D5.0mm_P2.00mm,1,2.2µF,
"C713, C714",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,2.2µ,
"D702, D703, D704",D_DO-35_SOD27_P10.16mm_Horizontal,3,1N4148,
D727,D_DO-35_SOD27_P10.16mm_Horizontal,1,BZ102/1V4,
J1,Connector_01x11_5mm,1,Conn_01x13,
"J2, J3",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,Conn_01x01,
P723,Potentiometer_Piher_PT-10-H01_Horizontal,1,4.7k,
"R702, R707, R708, R727, R728",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,22k,
R703,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
R704,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150k,
"R706, R711",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,4.7k,
"R716, R717, R724, R726",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,6.8k,
R722,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,12k,
R723,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,12k,
"T703, T707",TO-92_Wide,2,BC557,
T727,TO-92_Wide,1,BC547,
U721,DIP-16_W7.62mm,1,TDA1028,
