Designator,Mid X,Mid Y,Rotation,Layer
C702,31.25,-78.61,90.0,top
C708,60.0,-39.52,90.0,top
C711,37.794888,-34.5,0.0,top
C713,65.25,-72.38,270.0,top
C714,54.75,-72.38,270.0,top
D702,46.25,-69.84,270.0,top
D703,31.25,-54.68,270.0,top
D704,36.25,-39.52,270.0,top
D727,78.75,-69.84,270.0,top
J1,86.25,-87.0,0.0,top
J2,66.25,-32.68,0.0,top
J3,71.25,-32.68,0.0,top
P723,83.75,-32.68,270.0,top
R702,41.25,-69.84,270.0,top
R703,36.25,-80.0,90.0,top
R704,41.25,-39.52,270.0,top
R706,41.25,-64.84,90.0,top
R707,36.25,-54.68,270.0,top
R708,51.25,-49.68,90.0,top
R711,46.25,-39.52,270.0,top
R716,68.75,-64.84,90.0,top
R717,73.75,-54.68,270.0,top
R722,68.75,-39.52,270.0,top
R723,73.75,-49.68,90.0,top
R724,51.25,-64.84,90.0,top
R726,46.25,-54.68,270.0,top
R727,83.75,-69.84,270.0,top
R728,73.75,-69.84,270.0,top
T703,82.02,-46.97,90.0,top
T707,46.21,-35.29,0.0,top
T727,82.02,-62.3,90.0,top
U721,63.8,-62.555,180.0,top
