Designator,Footprint,Quantity,Value,LCSC Part #
"C1041, C1051",C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4,2,470n,
"C1042, C1043, C1052, C1053",C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4,4,15n,
"C1044, C1054",C_RAD_6.5mm_5mm,2,2.2n,
"C1046, C1056",C_RAD_6.5mm_5mm,2,680p,
C1057,CP_Radial_D6.3mm_P2.50mm,1,47µ,
C1058,CP_Radial_D5.0mm_P2.00mm,1,4.7µ,
J1,Connector_01x11_5mm,1,Conn_01x13,
"R1041, R1043, R1051, R1053",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,270k,
"R1042, R1052",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100k,
"R1044, R1054, R1058",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,10k,
"R1046, R1056",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,27k,
R1057,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,8.2k,
U1041,DIP-16_W7.62mm,1,TDA1028,
