Designator,Mid X,Mid Y,Rotation,Layer
C1041,51.25,-72.16,270.0,top
C1042,51.25,-58.27,270.0,top
C1043,46.25,-65.77,90.0,top
C1044,50.25,-49.5,90.0,top
C1046,42.25,-49.5,90.0,top
C1051,68.75,-72.16,270.0,top
C1052,68.75,-58.27,270.0,top
C1053,73.75,-65.77,90.0,top
C1054,69.75,-49.5,90.0,top
C1056,77.75,-49.5,90.0,top
C1057,61.18238,-75.91,180.0,top
C1058,60.0,-36.84,270.0,top
J1,80.75,-87.0,0.0,top
R1041,36.25,-57.0,270.0,top
R1042,31.25,-57.0,270.0,top
R1043,41.25,-57.0,270.0,top
R1044,31.25,-52.0,90.0,top
R1046,36.25,-41.84,270.0,top
R1051,83.75,-57.0,270.0,top
R1052,88.75,-56.92,270.0,top
R1053,78.75,-57.0,270.0,top
R1054,88.75,-52.0,90.0,top
R1056,83.75,-41.84,270.0,top
R1057,78.75,-36.84,180.0,top
R1058,51.41,-36.84,180.0,top
U1041,56.2,-47.125,0.0,top
