Designator,Footprint,Quantity,Value,LCSC Part #
"C402, C422",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,2.2µF,
"C403, C423",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,680pF,
"C407, C427",R_Axial_DIN0617_L17.0mm_D6.0mm_P5.08mm_Vertical,2,1.8nF,
"C408, C428",CP_Radial_D6.3mm_P2.50mm,2,47µF,
"C411, C431",C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4,2,4.7nF,
"C413, C433",C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,330nF,
J1,Connector_01x09_5mm,1,Conn_01x09,
"J2, J3, J4, J5",Solderpad,4,Conn_01x01,
"R401, R403, R421, R423",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,100k,
"R402, R422",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1.5k,
"R404, R424",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470,
"R406, R426",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,330k,
"R407, R427",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,15k,
"R408, R428",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,680,
"R411, R431",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,68k,
"R412, R432",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,390k,
"R413, R433",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
"R414, R434",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220k,
"T404, T406, T424, T426",TO-92_Wide,4,BC547,
