Designator,Footprint,Quantity,Value,LCSC Part #
"C1060, C1061",CP_Radial_D6.3mm_P2.50mm,2,47µF,
"C1062, C1082",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,2.2µ,
"C1063, C1083",C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4,2,680p,
"C1064, C1084",C_RAD_6.5mm_5mm,2,680p,
"C1066, C1086",C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4,2,4.7n,
"C1072, C1094",C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,330n,
J1,Connector_01x11_5mm,1,Conn_01x13,
"R1061, R1068, R1069, R1088, R1089",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,10k,
"R1062, R1082",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220k,
"R1063, R1083",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,56k,
"R1064, R1066, R1084, R1086",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,33k,
"R1067, R1087",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1.5k,
R1070,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,8.2k,
"R1071, R1091",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,150,
"R1072, R1094",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100k,
"R1073, R1093",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,820,
"T1067, T1087",TO-92_Wide,2,BC550,
U1,DIP-14_W7.62mm,1,CD4016,
