Designator,Mid X,Mid Y,Rotation,Layer
C1060,60.0,-41.61238,90.0,top
C1061,60.0,-79.36238,90.0,top
C1062,73.75,-59.18,180.0,top
C1063,88.75,-55.95,270.0,top
C1064,71.25,-47.68,0.0,top
C1066,81.25,-34.43,0.0,top
C1072,62.75,-70.68,90.0,top
C1082,46.25,-59.18,0.0,top
C1083,31.25,-55.95,270.0,top
C1084,48.75,-47.68,180.0,top
C1086,38.75,-34.43,180.0,top
C1094,57.25,-70.68,90.0,top
J1,83.0,-87.0,0.0,top
R1061,78.75,-80.0,90.0,top
R1062,68.75,-39.52,90.0,top
R1063,78.75,-54.68,270.0,top
R1064,88.75,-39.52,270.0,top
R1066,83.75,-49.68,90.0,top
R1067,78.75,-39.52,270.0,top
R1068,83.75,-54.68,270.0,top
R1069,73.75,-80.0,90.0,top
R1070,83.75,-80.0,90.0,top
R1071,73.75,-29.36,270.0,top
R1072,36.25,-80.0,90.0,top
R1073,68.75,-69.84,270.0,top
R1082,51.25,-39.52,90.0,top
R1083,41.25,-54.68,270.0,top
R1084,31.25,-39.52,270.0,top
R1086,36.25,-49.68,90.0,top
R1087,41.25,-39.52,270.0,top
R1088,36.25,-54.68,270.0,top
R1089,46.25,-80.0,90.0,top
R1091,46.25,-29.36,270.0,top
R1093,51.25,-69.84,270.0,top
R1094,41.25,-80.0,90.0,top
T1067,62.71,-29.36,270.0,top
T1087,57.29,-34.44,90.0,top
U1,56.2,-46.055,0.0,top
