Comment,Designator,Footprint,LCSC
"2.2µF","C681","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm",""
"100µF","C686","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"1N4001","D1","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"1N4001","D671,D672,D676,D677","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal",""
"Conn_01x13","J1","Relais-Modul:Connector_01x11_5mm",""
"2.2µH","L1,L2","Inductors_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",""
"2.2","R1,R2","Resistors_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P7.62mm_Vertical",""
"15k","R671","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"47k","R673","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18k","R674","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"8.2k","R676","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"68k","R678","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"1.2k","R681,R682,R684","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"4.7k","R683","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"33k","R686","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22k","R687","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22 / Org. 15","R688","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22","R691","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"G2R","RL691","Relays_THT:Relay_DPDT_Schrack-RT2_RM5mm",""
"BC548C","T674","TO_SOT_Packages_THT:TO-92_Molded_Wide_Oval",""
"BC558B","T681,T684","TO_SOT_Packages_THT:TO-92_Molded_Wide_Oval",""
"BC635","T691","TO_SOT_Packages_THT:TO-92_Molded_Wide_Oval",""
