Designator,Footprint,Quantity,Value,LCSC Part #
C681,CP_Radial_D5.0mm_P2.50mm,1,2.2µ,
C686,CP_Radial_D6.3mm_P2.50mm,1,100µ,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
"D671, D672, D676, D677",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N4001,
J1,Connector_01x11_5mm,1,Conn_01x13,
"L1, L2",L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,2,2.2µH,
"R1, R2",R_Axial_DIN0516_L15.5mm_D5.0mm_P7.62mm_Vertical,2,2.2,
R671,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,15k,
R673,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47k,
R674,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,18k,
R676,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,8.2k,
R678,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,68k,
"R681, R682, R684",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1.2k,
R683,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4.7k,
R686,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,33k,
R687,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22k,
R688,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47,
R691,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22,
RL691,Relay_DPDT_Schrack-RT2_RM5mm,1,G2R,
T674,TO-92_Wide,1,BC547,
"T681, T684",TO-92_Wide,2,BC557,
T691,TO-92_Wide,1,BC639,
