Designator,Mid X,Mid Y,Rotation,Layer
C681,60.75,-35.75,90.0,top
C686,88.25,-45.5,270.0,top
D1,79.5,-40.5,180.0,top
D671,50.75,-80.0,90.0,top
D672,40.75,-80.0,90.0,top
D676,35.75,-80.0,90.0,top
D677,55.75,-80.0,90.0,top
J1,83.25,-87.0,0.0,top
L1,85.5,-67.0,0.0,top
L2,60.88,-67.0,0.0,top
R1,89.75,-76.5,180.0,top
R2,61.75,-76.5,0.0,top
R671,45.75,-80.0,90.0,top
R673,45.75,-49.68,90.0,top
R674,45.75,-54.68,270.0,top
R676,30.75,-69.84,270.0,top
R678,40.75,-39.52,270.0,top
R681,50.75,-39.52,270.0,top
R682,60.75,-49.68,90.0,top
R683,50.75,-54.68,270.0,top
R684,65.75,-39.52,270.0,top
R686,55.75,-54.67,270.0,top
R687,55.75,-49.68,90.0,top
R688,35.75,-39.52,270.0,top
R691,30.75,-64.84,90.0,top
RL691,79.5,-45.5,270.0,top
T674,38.21,-57.3,270.0,top
T681,45.71,-35.29,0.0,top
T684,65.75,-57.25,180.0,top
T691,75.79,-33.73,180.0,top
