"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C901, ","1","220pF","C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C902, ","1","470nF","C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C903, C906, ","2","220nF","C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C911, ","1","6.8nF","C","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4","Unpolarized capacitor",""
"C912, C914, ","2","10nF","C","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4","Unpolarized capacitor",""
"C913, C916, ","2","4.7µF","C_Polarized","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Polarized capacitor",""
"C918, ","1","220µF","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Polarized capacitor",""
"C923, C943, ","2","22µF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor",""
"C924, C931, C944, C951, ","4","18nF","C","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4","Unpolarized capacitor",""
"C926, C928, C946, C948, ","4","12nF","C","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4","Unpolarized capacitor",""
"C927, C947, ","2","1.2nF","C","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4","Unpolarized capacitor",""
"D904, ","1","AA143"
"D906, D907, ","2","1N4148"
