Designator,Mid X,Mid Y,Rotation,Layer
C1181,50.25,-62.0,90.0,top
C1182,67.75,-62.0,90.0,top
C1183,85.25,-62.0,90.0,top
C1184,102.75,-62.0,90.0,top
C1186,137.75,-62.0,90.0,top
C1187,155.25,-62.0,90.0,top
C1188,120.25,-62.0,90.0,top
C1191,172.75,-62.0,90.0,top
C1192,190.25,-62.0,90.0,top
D1016,25.5,-23.0,0.0,top
D1181,74.5,-47.0,0.0,top
D1182,92.0,-47.0,0.0,top
D1183,127.0,-47.0,0.0,top
D1184,57.0,-47.0,0.0,top
D1186,179.5,-47.0,0.0,top
D1187,109.5,-47.0,0.0,top
D1188,144.5,-47.0,0.0,top
D1191,162.0,-47.0,0.0,top
D1192,197.0,-47.0,0.0,top
J1,129.0,-37.25,0.0,top
J10,23.5,-36.25,0.0,top
J2,112.0,-37.25,0.0,top
J3,95.0,-37.0,0.0,top
J4,221.5,-41.25,0.0,top
J5,23.5,-41.25,0.0,top
J6,23.5,-46.25,0.0,top
J8,221.5,-36.25,0.0,top
SW1032,198.75,-55.0,0.0,top
SW1181,58.75,-55.0,0.0,top
SW1182,76.25,-55.0,0.0,top
SW1183,93.75,-55.0,0.0,top
SW1184,111.25,-55.0,0.0,top
SW1186,146.25,-55.0,0.0,top
SW1187,163.75,-55.0,0.0,top
SW1188,128.75,-55.0,0.0,top
SW1191,181.25,-55.0,0.0,top
