Designator,Footprint,Quantity,Value,LCSC Part #
"C1101, C1116",CP_Radial_D5.0mm_P2.00mm,2,22µ,
C1108,CP_Radial_D5.0mm_P2.00mm,1,10µ,
C1111,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,2.2µ,
C1112,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,100p,
C1117,CP_Radial_D8.0mm_P3.50mm,1,47µ,
C1121,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,10p,
C1122,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,39p,
C1123,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,6.8p,
C1127,CP_Radial_D8.0mm_P3.50mm,1,100µ,
D1101,D_DO-35_SOD27_P10.16mm_Horizontal,1,ZPD6.8,
J1,Connector_01x11_5mm,1,Conn_01x13,
P1103,Potentiometer_Piher_PT-10-H01_Horizontal,1,10k,
R1101,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22,
"R1102, R1116",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1.5k,
R1103,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.7k,
R1104,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,8.2k,
R1106,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,3.3k,
"R1107, R1108",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,8.2k,
"R1111, R1123",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2.2k,
R1112,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47k,
R1113,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R1114,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22k,
R1115,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
R1117,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4.7k,
"R1122, R1124",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100,
R1126,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,220,
"R1127, R1128",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2.7k,
"T1102, T1112, T1114",TO-92_Wide,3,BC557,
T1108,TO-92_Wide,1,BC639,
T1124,TO-92_Wide,1,BC546,
