Designator,Mid X,Mid Y,Rotation,Layer
C1101,54.78,-42.34,90.0,top
C1108,54.78,-58.044888,270.0,top
C1111,88.75,-74.92,180.0,top
C1112,81.5,-66.09,90.0,top
C1116,81.25,-43.34,90.0,top
C1117,54.78,-48.5,270.0,top
C1121,31.25,-46.59,270.0,top
C1122,36.25,-79.84,180.0,top
C1123,36.25,-54.25,180.0,top
C1127,54.78,-66.34,270.0,top
D1101,41.25,-32.19,270.0,top
J1,83.0,-87.0,0.0,top
P1103,86.12,-32.18,270.0,top
R1101,46.25,-42.35,90.0,top
R1102,63.75,-42.34,90.0,top
R1103,68.75,-42.34,90.0,top
R1104,73.75,-32.18,270.0,top
R1106,41.25,-79.0,0.0,top
R1107,41.25,-69.84,90.0,top
R1108,36.25,-59.68,270.0,top
R1111,73.75,-80.0,90.0,top
R1112,78.75,-69.84,270.0,top
R1113,63.75,-57.34,90.0,top
R1114,73.75,-57.34,90.0,top
R1115,83.75,-47.17,270.0,top
R1116,78.75,-57.34,90.0,top
R1117,68.75,-57.34,90.0,top
R1122,31.25,-69.84,90.0,top
R1123,31.25,-42.35,90.0,top
R1124,36.25,-42.35,90.0,top
R1126,68.75,-69.84,270.0,top
R1127,46.25,-59.68,270.0,top
R1128,63.75,-80.0,90.0,top
T1102,52.24,-34.61,0.0,top
T1108,31.21,-76.11,0.0,top
T1112,76.25,-61.05,270.0,top
T1114,68.75,-61.05,270.0,top
T1124,36.25,-51.59,90.0,top
