Comment,Designator,Footprint,LCSC
"10µF","C10,C11,C20,C21","Capacitors_SMD:C_1206","C13585"
"1nF","C40,C41,C50,C51,C53,C54","Capacitors_SMD:C_0805","C46653"
"22nF","C52","Capacitors_SMD:C_0805","C1729"
"2.2µF","C80","Capacitors_SMD:C_0805","C49217"
"100nF","C81","Capacitors_SMD:C_0805","C49678"
"12pF","C82,C83","Capacitors_SMD:C_0805","C1804"
"MountingHole_Pad","H1,H2,H3,H4","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"Conn_01x13","J14","Zaehler-Modul:Conn_01x13_3.5mm",""
"Conn_01x01","J2,J3,J4,J6,J7,J8,J9,J10,J11,J12,J13","Wire_Pads:SolderWirePad_single_1-2mmDrill",""
"SWD","J5","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
"BC847","Q40,Q50,Q60,Q61,Q70","TO_SOT_Packages_SMD:SOT-23","C2150"
"240","R10,R20","Resistors_SMD:R_0805","C17572"
"680","R11","Resistors_SMD:R_0805","C17798"
"300","R1,R2","Resistors_SMD:R_1206","C17887"
"390","R21","Resistors_SMD:R_0805","C17655"
"470","R30,R31,R32,R33,R34,R35,R36,R37","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
"33k","R60,R70","Resistors_SMD:R_0805","C17633"
"100k","R40,R50,R61,R71","Resistors_SMD:R_0805","C149504"
"3.3k","R62","Resistors_SMD:R_0805","C26010"
"1k","R41,R51,R63","Resistors_SMD:R_0805","C17513"
"47","R80","Resistors_SMD:R_0603","C23182"
"100k","RV80","Potentiometers:Potentiometer_Trimmer_Bourns_3296W",""
"LM317","U10,U20","TO_SOT_Packages_SMD:TO-252-2","C75510"
"ULN2803A","U30","Housings_SOIC:SOIC-18W_7.5x11.6mm_Pitch1.27mm","C9683"
"UDN2981","U31","Housings_SOIC:SOIC-18W_7.5x11.6mm_Pitch1.27mm","C556269"
"U813BS","U50","Resistors_THT:R_Array_SIP6",""
"STM32G030C8T6","U80","Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm","C529329"
"16MHz","Y80","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","C13738"
