Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C60","2.2µF","C_0805_2012Metric",71.750000,-69.950000,-90.000000,top
"C61","100nF","C_0805_2012Metric",74.000000,-69.950000,-90.000000,top
"C62","12pF","C_0805_2012Metric",73.500000,-65.500000,0.000000,top
"C63","12pF","C_0805_2012Metric",77.000000,-62.500000,-90.000000,top
"J9","Conn_01x01","Solderpad_08x05",28.750000,-72.500000,90.000000,top
"J13","Conn_01x01","Solderpad_08x05",101.000000,-72.500000,-90.000000,top
"R20","750","R_1206_3216Metric",65.000000,-37.500000,-90.000000,top
"R21","750","R_1206_3216Metric",67.540000,-37.500000,-90.000000,top
"R22","750","R_1206_3216Metric",70.080000,-37.500000,-90.000000,top
"R23","750","R_1206_3216Metric",72.620000,-37.500000,-90.000000,top
"R24","750","R_1206_3216Metric",75.160000,-37.500000,-90.000000,top
"R25","750","R_1206_3216Metric",77.700000,-37.500000,-90.000000,top
"R26","750","R_1206_3216Metric",80.240000,-37.500000,-90.000000,top
"R27","750","R_1206_3216Metric",82.780000,-37.500000,-90.000000,top
"R60","47","R_0603_1608Metric",73.500000,-59.500000,0.000000,top
"U60","STM32G030C8T6","LQFP-48_7x7mm_P0.5mm",65.000000,-67.750000,180.000000,top
"Y60","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",73.500000,-62.500000,0.000000,top
