Designator,Footprint,Quantity,Value,LCSC Part #
"_16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",0dc2f033-525d-41ae-9787-ae3243d4dfcd,16,,
"C2151, C2153, C2186, C2187, C2191, C2192, C2196, C2197, C2203, C2204, C2211, C2212",C_Rect_L7.0mm_W2.5mm_P5.00mm,12,330n,
C2154,CP_Radial_D10.0mm_P5.00mm,1,220µ,
"C2156, C2157, C2158, C2206, C2207, C2218, C2242, C2252, C2321, C2323, C2401",C_Rect_L7.0mm_W2.0mm_P5.00mm,11,100n,
"C2163, C2164",C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1µ,
C2173,CP_Radial_D5.0mm_P2.00mm,1,10µ,
"C2222, C2357, C2387",CP_Radial_D5.0mm_P2.00mm,3,22µ,
"C2226, C2307",CP_Radial_D6.3mm_P2.50mm,2,47µ,
"C2233, C2234",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,10p,
"C2241, C2251",C_Rect_L7.0mm_W2.0mm_P5.00mm,2,47n,
"C2244, C2254",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,470p,
"C2246, C2256",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,100p,
C2248,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,220n,
"C2261, C2262",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,2.2µ,
"C2301, C2302, C2311, C2312",CP_Radial_D30.0mm_P10.00mm_SnapIn,4,3300µ,
C2306,CP_Radial_D10.0mm_P5.00mm,1,100µ,
"C2316, C2317",C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,2,330n,
C2322,CP_Radial_D10.0mm_P5.00mm,1,470µ,
"C2327, C2404",CP_Radial_D6.3mm_P2.50mm,2,100µ,
