Designator,Mid X,Mid Y,Rotation,Layer
_16,68.0,-142.5,0.0,top
_15,93.0,-68.5,0.0,top
_14,78.0,-142.5,0.0,top
_13,76.75,-84.425,0.0,top
_12,58.0,-142.5,0.0,top
_11,157.5,-29.5,0.0,top
_10,234.5425,-66.5,0.0,top
_9,78.0,-68.5,0.0,top
_8,93.0,-142.5,0.0,top
_7,88.0,-142.5,0.0,top
_6,209.5425,-66.5,0.0,top
_5,199.5425,-66.5,0.0,top
_4,174.5425,-66.5,0.0,top
_3,68.0,-68.5,0.0,top
_2,54.55,-84.425,0.0,top
,90.5,-39.9,0.0,top
C2151,205.5,-251.25,0.0,top
C2153,205.45,-246.25,0.0,top
C2154,204.5,-140.25,90.0,top
C2156,205.5,-261.25,0.0,top
C2157,205.5,-266.25,0.0,top
C2158,205.5,-256.25,0.0,top
C2163,194.25,-236.25,90.0,top
C2164,188.75,-236.25,90.0,top
C2173,200.5,-234.75,90.0,top
C2186,194.25,-201.25,90.0,top
C2187,188.75,-201.25,90.0,top
C2191,240.75,-251.25,180.0,top
C2192,240.75,-256.25,180.0,top
C2196,240.75,-196.25,180.0,top
C2197,240.75,-201.25,180.0,top
C2203,240.75,-221.25,180.0,top
C2204,240.75,-216.25,180.0,top
C2206,240.75,-166.25,180.0,top
C2207,240.75,-171.25,180.0,top
C2211,188.75,-161.25,270.0,top
C2212,194.25,-161.25,270.0,top
C2218,200.5,-188.75,90.0,top
C2222,200.5,-199.75,90.0,top
C2226,191.5,-155.0,90.0,top
C2233,83.0,-153.25,90.0,top
C2234,63.0,-153.25,90.0,top
C2241,45.5,-42.5,90.0,top
C2242,28.5,-42.5,90.0,top
C2244,45.5,-22.5,270.0,top
C2246,28.5,-22.5,270.0,top
C2248,85.5,-22.5,270.0,top
C2251,80.5,-42.5,90.0,top
C2252,63.5,-42.5,90.0,top
C2254,80.5,-22.5,270.0,top
C2256,63.5,-22.5,270.0,top
C2261,76.75,-82.0,0.0,top
C2262,54.55,-82.0,180.0,top
C2301,192.0,-89.5,180.0,top
C2302,192.0,-124.5,180.0,top
C2306,105.75,-51.25,90.0,top
C2307,90.5,-50.0,90.0,top
C2311,227.0,-89.5,180.0,top
C2312,227.0,-124.5,180.0,top
C2316,131.5,-64.0,90.0,top
C2317,116.5,-49.0,270.0,top
C2321,131.5,-74.0,90.0,top
C2322,149.0,-39.5,0.0,top
C2323,116.5,-74.0,90.0,top
C2327,91.5,-187.5,270.0,top
C2357,172.5,-40.5,180.0,top
C2362,251.75,-23.75,270.0,top
C2363,251.75,-63.75,270.0,top
C2364,251.75,-103.75,270.0,top
C2387,167.5,-45.5,180.0,top
C2392,251.75,-43.75,270.0,top
C2393,251.75,-83.75,270.0,top
C2394,251.75,-123.75,270.0,top
C2401,235.75,-266.25,0.0,top
C2404,257.5,-267.5,270.0,top
D2166,172.34,-231.25,0.0,top
D2167,172.34,-236.25,0.0,top
D2181,92.0,-232.5,90.0,top
D2182,87.0,-232.5,90.0,top
D2183,92.0,-245.5,90.0,top
D2184,87.0,-245.5,90.0,top
D2226,200.5,-156.09,270.0,top
D2248,28.5,-72.82,90.0,top
D2258,33.5,-72.82,90.0,top
D2304,174.5425,-64.0425,0.0,top
D2306,100.66,-37.5,180.0,top
D2307,100.66,-32.5,180.0,top
D2308,115.91,-27.5,180.0,top
D2309,115.91,-32.5,180.0,top
D2314,209.5425,-64.0,0.0,top
D2321,141.5,-35.84,270.0,top
F2301,189.5,-36.5,270.0,top
F2302,199.5,-56.5,90.0,top
F2308,131.07,-32.5,180.0,top
F2309,131.07,-37.5,180.0,top
F2311,209.5,-36.5,270.0,top
F2312,219.5,-56.5,90.0,top
F2321,141.5,-49.09,270.0,top
IC2161,195.3,-260.125,180.0,top
IC2176,195.3,-225.125,180.0,top
IC2221,195.3,-190.125,180.0,top
IC2241,33.2,-27.375,0.0,top
IC2251,68.2,-27.375,0.0,top
J1,38.0,-61.5,0.0,top
J10,98.0,-243.0,90.0,top
J11,78.0,-243.0,90.0,top
J12,58.0,-243.0,90.0,top
J13,68.15,-82.0,180.0,top
