Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","LED","LED_0402",89.100000,-25.400000,0.000000,top
"D2","LED","LED_0402",85.400000,-27.900000,82.500000,top
"D3","LED","LED_0402",88.400000,-31.100000,0.000000,top
"D4","LED","LED_0402",84.700000,-34.300000,82.500000,top
"D5","LED","LED_0402",92.100000,-27.900000,82.500000,top
"D6","LED","LED_0402",93.200000,-36.800000,0.000000,top
"D7","LED","LED_0402",91.400000,-34.300000,82.500000,top
"D8","LED","LED_0402",87.700000,-36.800000,0.000000,top
"D9","LED","LED_0402",73.900000,-25.400000,0.000000,top
"D10","LED","LED_0402",70.200000,-27.900000,82.500000,top
"D11","LED","LED_0402",76.900000,-27.900000,82.500000,top
"D12","LED","LED_0402",73.200000,-31.100000,0.000000,top
"D13","LED","LED_0402",69.500000,-34.300000,82.500000,top
"D14","LED","LED_0402",76.200000,-34.300000,82.500000,top
"D15","LED","LED_0402",72.500000,-36.800000,0.000000,top
"D16","LED","LED_0402",78.000000,-36.800000,0.000000,top
"D17","LED","LED_0402",31.300000,-27.900000,82.500000,top
"D18","LED","LED_0402",61.700000,-27.900000,82.500000,top
"D19","LED","LED_0402",58.700000,-25.400000,0.000000,top
"D20","LED","LED_0402",43.500000,-25.400000,0.000000,top
"D21","LED","LED_0402",55.000000,-27.900000,82.500000,top
"D22","LED","LED_0402",58.000000,-31.100000,0.000000,top
"D23","LED","LED_0402",61.000000,-34.300000,82.500000,top
"D24","LED","LED_0402",54.300000,-34.300000,82.500000,top
"D25","LED","LED_0402",57.300000,-36.800000,0.000000,top
"D26","LED","LED_0402",62.800000,-36.800000,0.000000,top
"D27","LED","LED_0402",46.500000,-27.900000,82.500000,top
"D28","LED","LED_0402",42.800000,-31.100000,0.000000,top
"D29","LED","LED_0402",39.800000,-27.900000,82.500000,top
"D30","LED","LED_0402",45.800000,-34.300000,82.500000,top
"D31","LED","LED_0402",39.100000,-34.300000,82.500000,top
"D32","LED","LED_0402",42.100000,-36.800000,0.000000,top
"D33","LED","LED_0402",47.600000,-36.800000,0.000000,top
"D34","LED","LED_0402",30.600000,-34.300000,82.500000,top
"D35","LED","LED_0402",27.900000,-28.000000,82.500000,top
"D36","LED","LED_0402",27.100000,-34.200000,82.500000,top
"D37","LED","LED_0402",32.400000,-36.800000,0.000000,top
"D38","LED","LED_0402",27.600000,-31.100000,0.000000,top
"R1","2.2k","R_0603_HandSoldering",30.500000,-43.500000,270.000000,top
"R2","2.2k","R_0603_HandSoldering",28.000000,-43.500000,270.000000,top
"R3","2.2k","R_0603_HandSoldering",25.500000,-43.500000,270.000000,top
"R4","2.2k","R_0603_HandSoldering",45.000000,-43.500000,0.000000,top
"R5","2.2k","R_0603_HandSoldering",94.000000,-43.500000,270.000000,top
"R6","2.2k","R_0603_HandSoldering",91.500000,-43.500000,270.000000,top
"R7","2.2k","R_0603_HandSoldering",23.000000,-43.500000,270.000000,top
"R8","2.2k","R_0603_HandSoldering",40.000000,-43.500000,0.000000,top
