Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805",27.500000,-51.000000,0.000000,top
"C2","2.2µF","C_0805",32.000000,-54.500000,270.000000,top
"C3","330nF","C_0805",34.000000,-54.500000,270.000000,top
"C4","100nF","C_0805",36.500000,-52.500000,90.000000,top
"C5","100nF","C_0805",49.950000,-56.000000,270.000000,top
"C6","100nF","C_0805",36.500000,-57.100000,270.000000,top
"Q11","BC847","SOT-23",67.000000,-53.000000,0.000000,top
"Q21","BC847","SOT-23",84.500000,-53.000000,0.000000,top
"Q31","BC847","SOT-23",102.000000,-53.000000,0.000000,top
"Q41","BC847","SOT-23",119.500000,-53.000000,0.000000,top
"Q51","BC847","SOT-23",137.000000,-53.000000,0.000000,top
"Q61","BC847","SOT-23",154.500000,-53.000000,0.000000,top
"Q71","BC847","SOT-23",172.000000,-53.000000,0.000000,top
"Q81","BC847","SOT-23",189.500000,-53.000000,0.000000,top
"Q91","BC847","SOT-23",207.000000,-53.000000,0.000000,top
"R1","10k","R_0805",38.050000,-46.500000,0.000000,top
"R11","3.3k","R_0805",67.000000,-57.000000,270.000000,top
"R21","3.3k","R_0805",84.500000,-57.000000,270.000000,top
"R31","3.3k","R_0805",102.000000,-57.000000,270.000000,top
"R41","3.3k","R_0805",119.500000,-57.000000,270.000000,top
"R51","3.3k","R_0805",137.000000,-57.000000,270.000000,top
"R61","3.3k","R_0805",154.500000,-57.000000,270.000000,top
"R71","3.3k","R_0805",172.000000,-57.000000,270.000000,top
"R81","3.3k","R_0805",189.500000,-57.000000,270.000000,top
"R91","3.3k","R_0805",207.000000,-57.000000,270.000000,top
"R92","3.3k","R_0805",207.050000,-47.000000,180.000000,top
"U1","L78L05_SOT89","SOT-89-3",28.000000,-55.000000,270.000000,top
"U2","ATmega328P-AU","TQFP-32_7x7mm_Pitch0.8mm",43.500000,-56.000000,180.000000,top
